d		1.fasta	2.fasta	3.fasta	4.fasta	5.fasta	6.fasta	7.fasta	8.fasta	9.fasta	10.fasta	11.fasta	12.fasta	13.fasta	14.fasta	15.fasta	16.fasta
k__Bacteria|p__Tenericutes	Tenericutes	0	0	0	0	418.0	0	0	0	0	0	0	0	0	19.0	0	0
k__Bacteria|p__Thermodesulfobacteria	Thermodesulfobacteria	0	0	0	0	1304.0	130.0	0	0	0	0	0	0	261.0	261.0	0	0
k__Eukaryota|p__Apicomplexa	Apicomplexa	0	0	0	126.0	0	0	0	0	1094.0	0	0	1811.0	259.0	0	0	963.0
k__Viruses|p__Viruses_noname	Viruses_noname	17.0	0	0	225.0	0	300.0	69.0	484.0	69.0	251.0	132.0	92.0	413.0	263.0	138.0	242.0

c		1.fasta	2.fasta	3.fasta	4.fasta	5.fasta	6.fasta	7.fasta	8.fasta	9.fasta	10.fasta	11.fasta	12.fasta	13.fasta	14.fasta	15.fasta	16.fasta
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	Acidobacteriia	0	0	0	0	0	0	799.0	0	0	799.0	930.0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria	Actinobacteria	0	0	0	0	3882.0	0	3647.0	5975.0	994.0	8861.0	10295.0	1067.0	1729.0	22522.0	13466.0	1759.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	Bacteroidia	0	0	0	0	4434.0	387.0	2499.0	2198.0	1186.0	4315.0	4273.0	801.0	359.0	4579.0	207.0	2869.0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	Flavobacteriia	0	0	0	0	1519.0	0	133.0	0	1388.0	2494.0	4451.0	0	1992.0	2319.0	4793.0	0
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	Sphingobacteriia	0	0	0	0	740.0	0	1113.0	1399.0	1330.0	0	3127.0	0	380.0	1110.0	0	0
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci	Deinococci	0	0	0	0	0	891.0	445.0	0	0	1336.0	445.0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli	Bacilli	188.0	48966.0	0	0	0	0	0	24.0	566.0	0	0	0	212.0	0	516.0	0
k__Bacteria|p__Firmicutes|c__Clostridia	Clostridia	2486.0	0	224746.0	54.0	8213.0	1159.0	288.0	2191.0	1866.0	0	3747.0	3552.0	4042.0	10717.0	1439.0	0
k__Bacteria|p__Firmicutes|c__Negativicutes	Negativicutes	0	0	0	0	1818.0	0	909.0	909.0	0	0	0	0	0	540.0	540.0	0
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	Fusobacteriia	217.0	0	57676.0	0	0	0	234.0	663.0	0	442.0	877.0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	Alphaproteobacteria	0	0	987.0	0	1541.0	0	1541.0	0	669.0	822.0	1040.0	0	1541.0	0	146.0	1541.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	Betaproteobacteria	243.0	0	0	0	758.0	3104.0	1483.0	4300.0	278.0	8198.0	21616.0	2535.0	1263.0	0	511.0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	Gammaproteobacteria	3820216.0	4313786.0	1931692.0	43110.0	14182.0	25564.0	37532.0	121322.0	4677.0	24816.0	41596.0	1753.0	7677.0	249.0	686.0	84.0
k__Bacteria|p__Tenericutes|c__Mollicutes	Mollicutes	0	0	0	0	418.0	0	0	0	0	0	0	0	0	19.0	0	0
k__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria	Thermodesulfobacteria	0	0	0	0	1304.0	130.0	0	0	0	0	0	0	261.0	261.0	0	0
k__Eukaryota|p__Apicomplexa|c__Coccidia	Coccidia	0	0	0	156.0	0	0	0	0	1353.0	0	0	2239.0	320.0	0	0	1191.0
k__Viruses|p__Viruses_noname|c__Viruses_noname	Viruses_noname	17.0	0	0	225.0	0	300.0	69.0	484.0	69.0	251.0	132.0	92.0	413.0	263.0	138.0	242.0

o		1.fasta	2.fasta	3.fasta	4.fasta	5.fasta	6.fasta	7.fasta	8.fasta	9.fasta	10.fasta	11.fasta	12.fasta	13.fasta	14.fasta	15.fasta	16.fasta
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales	Acidobacteriales	0	0	0	0	0	0	799.0	0	0	799.0	930.0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	Actinomycetales	0	0	0	0	5842.0	0	5489.0	8991.0	1495.0	13334.0	15369.0	1606.0	2602.0	33892.0	20264.0	2648.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	Bacteroidales	0	0	0	0	4434.0	387.0	2499.0	2198.0	1186.0	4315.0	4273.0	801.0	359.0	4579.0	207.0	2869.0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	Flavobacteriales	0	0	0	0	1326.0	0	116.0	0	1212.0	2178.0	3886.0	0	1739.0	2025.0	4185.0	0
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales	Sphingobacteriales	0	0	0	0	740.0	0	1113.0	1399.0	1330.0	0	3127.0	0	380.0	1110.0	0	0
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci|o__Deinococcales	Deinococcales	0	0	0	0	0	1024.0	512.0	0	0	1535.0	512.0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	Bacillales	0	2616.0	0	0	0	0	0	0	0	0	0	0	267.0	0	649.0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	Lactobacillales	139.0	34792.0	0	0	0	0	0	18.0	420.0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	Clostridiales	2705.0	0	244476.0	58.0	8934.0	1261.0	313.0	2384.0	2030.0	0	4076.0	3864.0	4397.0	11658.0	1565.0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	Selenomonadales	0	0	0	0	1818.0	0	909.0	909.0	0	0	0	0	0	540.0	540.0	0
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	Fusobacteriales	217.0	0	57676.0	0	0	0	234.0	663.0	0	442.0	877.0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales	Rhizobiales	0	0	1131.0	0	1765.0	0	1765.0	0	0	0	0	0	1765.0	0	0	1765.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	Rhodobacterales	0	0	0	0	0	0	0	0	863.0	1060.0	1341.0	0	0	0	189.0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	Burkholderiales	0	0	0	0	0	0	1273.0	1318.0	363.0	4127.0	14165.0	2656.0	486.0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Hydrogenophilales	Hydrogenophilales	0	0	0	0	0	0	0	0	0	2740.0	5368.0	525.0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	Neisseriales	251.0	0	0	0	784.0	2053.0	527.0	3401.0	0	544.0	2663.0	0	921.0	0	528.0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	Rhodocyclales	0	0	0	0	0	0	0	0	0	2512.0	2640.0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales	Alteromonadales	0	0	0	0	0	0	0	0	1474.0	11084.0	13736.0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	Chromatiales	0	0	0	0	0	0	0	0	0	1140.0	1140.0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	Enterobacteriales	4225839.0	4771411.0	7020.0	41038.0	11667.0	21599.0	26330.0	103136.0	1620.0	1080.0	4223.0	0	540.0	0	540.0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales	Oceanospirillales	0	0	0	0	2831.0	2109.0	6328.0	0	0	6328.0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	Pasteurellales	0	0	23740.0	0	0	0	0	1970.0	0	367.0	1796.0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	Pseudomonadales	930.0	0	0	0	0	0	0	0	2246.0	8386.0	22274.0	1962.0	5557.0	0	222.0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales	Vibrionales	809.0	809.0	2706957.0	8638.0	1916.0	5861.0	12316.0	35875.0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	Xanthomonadales	0	1576.0	0	0	0	277.0	0	0	0	443.0	3033.0	0	2547.0	285.0	0	97.0
k__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales	Thermodesulfobacteriales	0	0	0	0	1304.0	130.0	0	0	0	0	0	0	261.0	261.0	0	0
k__Eukaryota|p__Apicomplexa|c__Coccidia|o__Eucoccidiorida	Eucoccidiorida	0	0	0	156.0	0	0	0	0	1353.0	0	0	2239.0	320.0	0	0	1191.0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname	Viruses_noname	18.0	0	0	230.0	0	308.0	71.0	496.0	71.0	257.0	135.0	94.0	423.0	270.0	142.0	248.0

f		1.fasta	2.fasta	3.fasta	4.fasta	5.fasta	6.fasta	7.fasta	8.fasta	9.fasta	10.fasta	11.fasta	12.fasta	13.fasta	14.fasta	15.fasta	16.fasta
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae	Acidobacteriaceae	0	0	0	0	0	0	799.0	0	0	799.0	930.0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	Actinomycetaceae	0	0	0	0	2642.0	0	898.0	4066.0	78.0	3991.0	3249.0	0	0	15325.0	5539.0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Brevibacteriaceae	Brevibacteriaceae	0	0	0	0	0	0	2360.0	0	0	1180.0	1180.0	0	0	0	3539.0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Dermabacteraceae	Dermabacteraceae	0	0	0	0	0	0	0	0	0	0	829.0	0	0	0	1658.0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Dermatophilaceae	Dermatophilaceae	0	0	0	0	0	0	0	0	0	1314.0	1314.0	1314.0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Microbacteriaceae	Microbacteriaceae	0	0	0	0	0	0	0	0	0	0	1362.0	0	734.0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae	Propionibacteriaceae	0	0	0	0	0	0	0	0	922.0	0	922.0	0	922.0	0	0	1844.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Marinilabiliaceae	Marinilabiliaceae	0	0	0	0	0	0	0	0	0	653.0	188.0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	Porphyromonadaceae	0	0	0	0	4690.0	409.0	2643.0	2324.0	1254.0	4008.0	4358.0	847.0	379.0	4843.0	219.0	3035.0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae	Flavobacteriaceae	0	0	0	0	1948.0	0	173.0	0	1813.0	3257.0	5812.0	0	2602.0	3029.0	6224.0	0
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae	Sphingobacteriaceae	0	0	0	0	694.0	0	1045.0	1313.0	1248.0	0	2935.0	0	356.0	1042.0	0	0
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci|o__Deinococcales|f__Deinococcaceae	Deinococcaceae	0	0	0	0	0	1052.0	526.0	0	0	1577.0	526.0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae	Planococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	305.0	0	742.0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	Enterococcaceae	150.0	37503.0	0	0	0	0	0	19.0	453.0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	Clostridiaceae	1547.0	0	167075.0	62.0	0	0	0	868.0	0	0	0	869.0	2010.0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	Lachnospiraceae	0	0	0	0	0	0	0	0	2176.0	0	588.0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae	Peptostreptococcaceae	970.0	0	68119.0	0	6787.0	970.0	0	970.0	0	0	1939.0	1939.0	1939.0	8726.0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	Ruminococcaceae	0	0	0	0	0	0	376.0	376.0	0	0	1208.0	638.0	0	376.0	1878.0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	Veillonellaceae	0	0	0	0	2133.0	0	1066.0	1066.0	0	0	0	0	0	634.0	634.0	0
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae	Leptotrichiaceae	228.0	0	50250.0	0	0	0	245.0	695.0	0	463.0	918.0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bartonellaceae	Bartonellaceae	0	0	0	0	794.0	0	794.0	0	0	0	0	0	794.0	0	0	794.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae	Rhodobacteraceae	0	0	0	0	0	0	0	0	913.0	1122.0	1419.0	0	0	0	200.0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae	Alcaligenaceae	0	0	0	0	0	0	1195.0	0	0	0	2971.0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_noname	Burkholderiales_noname	0	0	0	0	0	0	0	1329.0	0	1329.0	2658.0	1329.0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae	Comamonadaceae	0	0	0	0	0	0	0	0	0	3387.0	10085.0	1612.0	586.0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Hydrogenophilales|f__Hydrogenophilaceae	Hydrogenophilaceae	0	0	0	0	0	0	0	0	0	2740.0	5368.0	525.0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae	Neisseriaceae	251.0	0	0	0	784.0	2053.0	527.0	3401.0	0	544.0	2663.0	0	921.0	0	528.0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales|f__Rhodocyclaceae	Rhodocyclaceae	0	0	0	0	0	0	0	0	0	2512.0	2640.0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Alteromonadaceae	Alteromonadaceae	0	0	0	0	0	0	0	0	1477.0	11113.0	13771.0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales|f__Ectothiorhodospiraceae	Ectothiorhodospiraceae	0	0	0	0	0	0	0	0	0	1106.0	1106.0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae	Enterobacteriaceae	4225839.0	4771411.0	7020.0	41038.0	11667.0	21599.0	26330.0	103136.0	1620.0	1080.0	4223.0	0	540.0	0	540.0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales|f__Halomonadaceae	Halomonadaceae	0	0	0	0	1398.0	1398.0	4195.0	0	0	4195.0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	Pasteurellaceae	0	0	23740.0	0	0	0	0	1970.0	0	367.0	1796.0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae	Moraxellaceae	635.0	0	0	0	0	0	0	0	1534.0	367.0	3152.0	0	2455.0	0	151.0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae	Pseudomonadaceae	0	0	0	0	0	0	0	0	0	10337.0	23259.0	2584.0	2584.0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae	Vibrionaceae	724.0	724.0	2424911.0	7738.0	1716.0	5250.0	11033.0	32137.0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae	Xanthomonadaceae	0	1430.0	0	0	0	251.0	0	0	0	402.0	1964.0	0	2311.0	259.0	0	88.0
k__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae	Thermodesulfobacteriaceae	0	0	0	0	1304.0	130.0	0	0	0	0	0	0	261.0	261.0	0	0
k__Eukaryota|p__Apicomplexa|c__Coccidia|o__Eucoccidiorida|f__Eimeriidae	Eimeriidae	0	0	0	9.0	0	0	0	0	78.0	0	0	129.0	19.0	0	0	69.0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Retroviridae	Retroviridae	3.0	0	0	37.0	0	23.0	11.0	80.0	11.0	39.0	22.0	14.0	69.0	44.0	23.0	40.0

g		1.fasta	2.fasta	3.fasta	4.fasta	5.fasta	6.fasta	7.fasta	8.fasta	9.fasta	10.fasta	11.fasta	12.fasta	13.fasta	14.fasta	15.fasta	16.fasta
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Acidobacteriaceae_unclassified	Acidobacteriaceae_unclassified	0	0	0	0	0	0	117.0	0	0	799.0	248.0	0	0	0	0	0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Granulicella	Granulicella	0	0	0	0	0	0	740.0	0	0	0	740.0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinobaculum	Actinobaculum	0	0	0	0	2311.0	0	787.0	3744.0	0	3744.0	3034.0	0	0	14586.0	5298.0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Mobiluncus	Mobiluncus	0	0	0	0	236.0	0	79.0	158.0	81.0	80.0	80.0	0	0	82.0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Brevibacteriaceae|g__Brevibacterium	Brevibacterium	0	0	0	0	0	0	2360.0	0	0	1180.0	1180.0	0	0	0	3539.0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Dermabacteraceae|g__Dermabacteraceae_unclassified	Dermabacteraceae_unclassified	0	0	0	0	0	0	0	0	0	0	829.0	0	0	0	1658.0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Dermatophilaceae|g__Dermatophilaceae_unclassified	Dermatophilaceae_unclassified	0	0	0	0	0	0	0	0	0	1314.0	1314.0	1314.0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Microbacteriaceae|g__Leifsonia	Leifsonia	0	0	0	0	0	0	0	0	0	0	1150.0	0	544.0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacteriaceae_unclassified	Propionibacteriaceae_unclassified	0	0	0	0	0	0	0	0	922.0	0	922.0	0	922.0	0	0	605.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Marinilabiliaceae|g__Marinilabiliaceae_unclassified	Marinilabiliaceae_unclassified	0	0	0	0	0	0	0	0	0	653.0	188.0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Dysgonomonas	Dysgonomonas	0	0	0	0	2242.0	129.0	301.0	436.0	907.0	1336.0	1731.0	0	253.0	3406.0	206.0	127.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides	Parabacteroides	0	0	0	0	3759.0	409.0	3292.0	2686.0	630.0	3919.0	3923.0	633.0	217.0	2552.0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas	Porphyromonas	0	0	0	0	0	0	0	0	0	0	0	215.0	0	0	21.0	1608.0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Cellulophaga	Cellulophaga	0	0	0	0	1995.0	0	0	0	0	997.0	997.0	0	997.0	1995.0	997.0	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Gillisia	Gillisia	0	0	0	0	224.0	0	0	0	463.0	1616.0	0	0	937.0	0	1457.0	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Myroides	Myroides	0	0	0	0	0	0	185.0	0	0	0	1388.0	0	797.0	0	453.0	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Riemerella	Riemerella	0	0	0	0	0	0	0	0	821.0	422.0	2240.0	0	0	821.0	2111.0	0
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae|g__Pedobacter	Pedobacter	0	0	0	0	0	0	0	1133.0	1077.0	0	2232.0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae|g__Sphingobacterium	Sphingobacterium	0	0	0	0	676.0	0	1017.0	0	0	0	339.0	0	347.0	1014.0	0	0
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci|o__Deinococcales|f__Deinococcaceae|g__Deinococcus	Deinococcus	0	0	0	0	0	1052.0	526.0	0	0	1577.0	526.0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Planococcus	Planococcus	0	0	0	0	0	0	0	0	0	0	0	0	274.0	0	667.0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus	Enterococcus	221.0	55201.0	0	0	0	0	0	29.0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium	Clostridium	2130.0	0	229976.0	86.0	0	0	0	1195.0	0	0	0	1197.0	2766.0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcaceae_noname	Peptostreptococcaceae_noname	1315.0	0	92026.0	0	9203.0	1315.0	0	1315.0	0	0	2629.0	2629.0	2629.0	11832.0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	Anaerotruncus	0	0	0	0	0	0	0	0	0	0	1181.0	624.0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum	Subdoligranulum	0	0	0	0	0	0	373.0	373.0	0	0	0	0	0	373.0	1866.0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Megasphaera	Megasphaera	0	0	0	0	1450.0	0	725.0	725.0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Mitsuokella	Mitsuokella	0	0	0	0	0	0	0	0	0	0	0	0	0	503.0	503.0	0
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae|g__Leptotrichiaceae_unclassified	Leptotrichiaceae_unclassified	228.0	0	50250.0	0	0	0	245.0	695.0	0	463.0	918.0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bartonellaceae|g__Bartonella	Bartonella	0	0	0	0	794.0	0	794.0	0	0	0	0	0	794.0	0	0	794.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Paracoccus	Paracoccus	0	0	0	0	0	0	0	0	0	153.0	1043.0	0	0	0	147.0	0
