#SampleID	Metaphlan2_Analysis
#clade_name	relative_abundance	coverage	average_genome_length_in_the_clade	estimated_number_of_reads_from_the_clade
k__Bacteria	100.0	0.0124084766632	3060646	37978
k__Bacteria|p__Proteobacteria	36.36621	0.00451249254124	3135748	14150
k__Bacteria|p__Firmicutes	28.60783	0.00354979558799	2645593	9391
k__Bacteria|p__Bacteroidetes	14.69584	0.00182353000043	4234739	7722
k__Bacteria|p__Actinobacteria	9.68636	0.00120193015309	3230214	3882
k__Bacteria|p__Thermodesulfobacteria	5.22532	0.000648382286196	2011566	1304
k__Bacteria|p__Tenericutes	3.46624	0.000430107526882	972074	418
k__Bacteria|p__Spirochaetes	1.9522	0.000242238567394	3362661	815
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	31.00681	0.00384747291479	3686133	14182
k__Bacteria|p__Firmicutes|c__Clostridia	23.02293	0.00285679489499	2874996	8213
k__Bacteria|p__Actinobacteria|c__Actinobacteria	9.68636	0.00120193015309	3230214	3882
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	9.41832	0.00116867029832	3794378	4434
k__Bacteria|p__Firmicutes|c__Negativicutes	5.5849	0.000693000693001	2623729	1818
k__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria	5.22532	0.000648382286196	2011566	1304
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	4.31052	0.000534869301345	2839483	1519
k__Bacteria|p__Tenericutes|c__Mollicutes	3.46624	0.000430107526882	972074	418
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	3.36212	0.000417188151856	3693177	1541
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	1.99728	0.000247831474597	3060202	758
k__Bacteria|p__Spirochaetes|c__Spirochaetia	1.9522	0.000242238567394	3362661	815
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	0.967	0.000119990400768	6164480	740
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	23.05062	0.00286023031518	4079009	11667
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	23.02293	0.00285679489499	3127383	8934
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	9.68636	0.00120193015309	4860922	5842
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	9.41832	0.00116867029832	3794378	4434
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	5.5849	0.000693000693001	2623729	1818
k__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales	5.22532	0.000648382286196	2011566	1304
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales	5.03474	0.000624734321169	4531004	2831
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	4.31052	0.000534869301345	2479048	1326
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Acholeplasmatales	3.46624	0.000430107526882	1113312	479
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales	3.36212	0.000417188151856	4231002	1765
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales	2.92146	0.000362508278434	5285047	1916
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	1.99728	0.000247831474597	3161861	784
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales	1.9522	0.000242238567394	3362661	815
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales	0.967	0.000119990400768	6164480	740
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae	23.05062	0.00286023031518	4079009	11667
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae	22.73803	0.00282144296655	2405476	6787
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	9.68636	0.00120193015309	2198008	2642
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	9.41832	0.00116867029832	4013113	4690
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	5.5849	0.000693000693001	3077352	2133
